word,gloss
абажур,"1. Колпак или экран, надеваемый на светильник или лампу, для рассеивания и защиты глаз от прямого света, а также для декоративных целей.
 2. Часть светильника, предназначенная для мягкого распространения света и создания уютной атмосферы."
аббат,"1. Настоятель мужского католического монастыря, духовный лидер и управляющий монахами.
 2. Католический священник, особенно в Франции."
абориген,"1. Коренной житель или обитатель определённой территории или страны, живущий с давних времён на этой земле.
 2. Местный, исходный для конкретного региона."
абсолютно,"1. Совершенно, полностью, совсем."
аварийный,"1. Относящийся к аварии или состоянию, возникшему в результате аварии.
 2. Предназначенный для предотвращения или устранения аварийных ситуаций.
 3. Грозящий возникновением аварии.
 4. Запасной, предназначенный для использования в случае чрезвычайных ситуаций."
авария,"1. Повреждение или выход из строя механизма, машины или транспортного средства во время действия или движения.
 2. Крушение или катастрофа, вызванные нарушением правил безопасности, погодными условиями и т.д.
 3. Неудача или провал в каком-либо деле.
 4. Дорожно-транспортное или полётное происшествие без летальных исходов, но с значительными повреждениями."
август,"1. Восьмой месяц года в григорианском календаре.
 2. Последний месяц лета."
автоматический,"1. Действующий без прямого вмешательства человека, самодействующий.
 2. Основанный на использовании автоматики и механических устройств.
 3. Непроизвольный, машинальный.
 4. Имеющий механизм, обеспечивающий непрерывное действие после первоначального запуска."
автомашина,"1. Автомобиль, транспортное средство, предназначенное для передвижения по дорогам с использованием двигателя."
автономный,"1. Обладающий самостоятельностью и способностью к самостоятельному управлению; независимый.
 2. Существующий или действующий независимо, без внешнего вмешательства.
 3. Самостоятельный, не зависящий от других."
автор,"1. Создатель литературного, художественного, научного или иного произведения, а также проектов, изобретений, инженерных решений и т.д.
 2. Лицо, совершившее действие или организовавшее какое-либо мероприятие."
авторитет,"1. Общепризнанное значение, влияние.
 2. Лицо, пользующееся уважением и признанием, имеющее авторитет."
агент,"1. Представитель или уполномоченный лица, организации или учреждения, действующий от их имени и в их интересах.
 2. Личность или группа, продвигающая определённые идеи или интересы.
 3. Секретный сотрудник разведывательного или полицейского органа, занимающийся слежкой и расследованием.
 4. Специалист, занимающийся посредничеством или переговорным процессом."
ад,"1. Место, где, согласно религиозным верованиям, души грешников испытывают вечные страдания.
 2. Ситуация или условия, вызывающие сильную боль, дискомфорт или страдания.
 3. Нравственные или душевные мучения, испытываемые человеком.
 4. Символ самых негативных аспектов или существа.
 5. Чему-либо чрезвычайно трудному или невыносимому."
аделаида,"1. Устаревшее слово, обозначающее тёмный синий или пурпурный цвет."
административный,"1. Связанный с управлением или администрацией, входящий в компетенцию исполнительной власти.
 2. Осуществляемый или регулируемый администрацией.
 3. Относящийся к управленческим, приказным или распорядительным функциям.
 4. Администраторский, характерный для работы администраторов."
администратор,"1. Должностное лицо, осуществляющее управление и контроль над чем-либо, например, над организацией, системой или ресурсами.
 2. Специалист, занимающийся техническим обслуживанием и управлением компьютерными сетями и системами.
 3. Пользователь с максимальными правами доступа, позволяющими управлять и настраивать компьютерную систему."
администрация,"1. Управляющий орган или руководство организации, отвечающее за её управление и принятие решений.
 2. Должностные лица, занимающие руководящие позиции в учреждении, предприятии или организации, осуществляющие контроль и распорядительные функции.
 3. Исполнительные и распорядительные органы власти в государстве.
 4. Ответственные за управление и организацию деятельности учреждения лица."
адмирал,"1. Воинское звание высшего командного состава военно-морского флота.
 2. Лицо, носящее это звание.
 3. Один из высших чинов в военно-морских флотах."
адрес,"1. Данные, указывающие физическое местонахождение чего-либо или кого-либо, включая почтовый адрес.
 2. Написание на почтовом отправлении, указывающее место назначения и получателя.
 3. Письменное приветствие или поздравление, особенно в связи с юбилеем.
 4. Код, определяющий местоположение информации в цифровых системах.
 5. Выражение, означающее негативную оценку или направление чего-либо в неправильное место."
адъютант,"1. Военнослужащий, состоящий при военном начальнике или штабе воинской части для исполнения служебных поручений и выполнения штабной работы.
 2. Офицер, выполняющий поручения и штабные задачи при высшем военном руководстве."
азарт,"1. Сильное возбуждение и страстное увлечение чем-либо.
 2. Задор, пыл в действиях, вызванные жаждой успеха или победы."
академик,"1. Член академии наук или других научных и художественных учреждений, обладающий высоким уровнем знаний и мастерства в своей области.
 2. Звание, присваиваемое тем, кто хорошо разбирается в каком-либо деле, достигнув совершенства в своих навыках.
 3. Спортсмен, специализирующийся на академической гребле."
академия,"1. Организация, занимающаяся развитием наук или искусств, признанная за её авторитет.
 2. Высшее учебное заведение, предоставляющее образование в различных областях знаний."
аквариум,"1. Стеклянная ёмкость для содержания и наблюдения за водными животными и растениями.
 2. Научное или образовательное учреждение, где изучают и демонстрируют водную жизнь в специальных бассейнах.
 3. В переносном смысле, здание или структура с прозрачными стенами, напоминающая по форме аквариум."
аким,"1. Глава местной администрации в Казахстане, Киргизии и других странах, обладающий полномочиями по управлению регионом."
аккорд,"1. Сочетание трёх или более звуков, звучащих вместе, особенно в музыке.
 2. Набор струн на музыкальном инструменте.
 3. Специальное обозначение в стенографии, образованное соединением букв."
аккредитация,"1. Назначение или официальное признание права на выполнение определенных функций, полномочий или участия в мероприятиях.
 2. Процесс регистрации, допуска и предоставления удостоверения для спортсменов, тренеров, судей, журналистов и других специалистов, позволяющий им участвовать в соревнованиях и мероприятиях."
аккуратно,"1. Тщательно и точно, с соблюдением правил и норм.
 2. Осторожно и бережно.
 3. Постоянно, исправно, не пропуская."
акт,"1. Единичное действие, поступок или проявление деятельности.
 2. Законченная часть драматического произведения или театрального представления.
 3. Служебный документ, официально подтверждающий юридические факты и события.
 4. Устаревшее слово, означающее торжественное собрание в учебных заведениях по случаю выпускных или вручения наград.
 5. Закон, указ или постановление, издаваемые государственными или общественными органами.
 6. Документ, протокол или запись, относящиеся к юридическим вопросам."
актер,"1. Профессиональный исполнитель ролей в театральных постановках или кино, кто играет вымышленных персонажей.
 2. Личность, притворяющаяся или представляющая себя кем-то другим, часто в театральной или художественной среде."
активист,"1. Активный и деятельный член организации или общественного движения.
 2. Представитель группы, который активно участвует и отстаивает интересы этой группы.
 3. Общественник, занимающийся активной деятельностью на благо общества."
активно,"1. С проявлением энергии, активности и инициативы."
активность,"1. Энергичная и действенная деятельность, участие в мероприятиях или проектах.
 2. Активное, энергичное поведение или состояние, проявляющееся в действиях и инициативе.
 3. Способность к действию и взаимодействию, активный подход к задачам.
 4. Интенсивная и сосредоточенная энергия, часто связанная с внутренней силой или стимулами.
 5. Право граждан на участие в политических процессах, особенно в выборах."
активный,"1. Осуществляющий интенсивную деятельность или протекающий с большой энергией.
 2. Способный к активному взаимодействию и вовлеченный в процесс.
 3. Выполняемый или используемый в данный момент.
 4. Включающий физическую энергию и двигательную активность.
 5. Составляющий часть речи, используемый говорящим в повседневной речи."
актриса,"1. Женщина, занимающаяся актерской деятельностью, выступающая на сцене, в кино или на телевидении."
акула,"1. Крупная хищная морская рыба надотряда selachimorpha с веретенообразным телом и большой пастью.
 2. Символ беззастенчивого присвоения чужого труда или того, кто наживается на эксплуатации."
акцент,"1. Ударение или выделение слога или слова в речи, обозначаемое знаком ударения.
 2. Особенности произношения, отличающие один язык или диалект от другого, особенно для носителей неродного языка.
 3. Выделение чего-либо как важного или существенного, например, в тексте или произведении.
 4. В переносном смысле, усиление или выдвижение на первый план."
акция,"1. Ценная бумага, представляющая долю в акционерном обществе и дающая право на участие в управлении компанией и/или получение дивидендов."
аллея,"1. Дорога или дорожка, обсаженная по обеим сторонам деревьями или кустарниками, обычно в саду или парке."
алмаз,"1. Минерал, кристаллическая форма углерода, отличающаяся исключительной твердостью, блеском и ценностью; драгоценный камень.
 2. Прозрачный, ограненный камень, используемый в ювелирных изделиях (бриллиант).
 3. Что-то блестящее, искрящееся, или чрезвычайно ценное и незаурядное.
 4. Инструмент резки стекла в виде острого куска минерала, вложенного в рукоятку."
алмазный,"1. Изготовленный из алмазов или имеющий алмазную структуру.
 2. Благородный, блестящий, прозрачный, переливающийся.
 3. Ценный, имеющий историческую или художественную значимость."
алый,1. Ярко-красный.
амбар,"1. Строение для хранения зерна, муки и других продовольственных товаров.
 2. Неотапливаемая постройка, используемая для хранения и оптовой продажи товаров."
